Address,City,Price,lot_size_m2,living_area_m2,Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,est_neigh_price_m2,rooms_total,bedrooms,Bathrooms,province_nl,price_per_sqm
Napoleonshoed 41,Oosterhout (NB),420000.0,134.0,118.0,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3,A,In woonwijk,Achtertuin en voortuin,1.415,4,2.0,1,,3559.322033898305
Bovendonksestraat 47,Hoeven,425000.0,305.0,116.0,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,In woonwijk,"Achtertuin, voortuin en zijtuin",4.765,4,3.0,1,Noord-Brabant,3663.793103448276
Kleine Hassel 6,Lage Mierde,300000.0,129.0,90.0,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,1.395,4,3.0,1,Noord-Brabant,3333.3333333333335
Rosmolen 100,Alphen aan den Rijn,650000.0,233.0,244.0,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,2.220,10,4.0,1,Zuid-Holland,2663.934426229508
Eisenhowerstraat 1,Oss,289000.0,226.0,99.0,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,E,In woonwijk,Achtertuin en voortuin,555,6,4.0,1,Noord-Brabant,2919.191919191919
C.M. van Reesstraat 8,Sliedrecht,299000.0,119.0,94.0,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2,G,In woonwijk,Achtertuin en zijtuin,2.040,5,4.0,1,Zuid-Holland,3180.851063829787
Rietmeent 75,Almere,385000.0,127.0,123.0,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.245,5,4.0,1,Flevoland,3130.081300813008
't Muurke 2,Wanroij,425000.0,1.86,125.0,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met overig en pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2,G,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en tuin rondom,2.330,7,4.0,1,Noord-Brabant,3400.0
Osingastate 15,Leeuwarden,267500.0,140.0,119.0,1979,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2,D,Aan rustige weg en in woonwijk,Achtertuin,4.055,6,5.0,1,Fryslân,2247.8991596638657
Kamp 13 33,Lelystad,315000.0,200.0,110.0,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,"Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",1.915,5,4.0,1,Flevoland,2863.6363636363635
Meester A Datemalaan 8,Kesteren,545000.0,258.0,117.0,2020,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.225,5,3.0,1,Gelderland,4658.119658119658
Prins Mauritslaan 156 E,Den Haag,945000.0,228.0,171.0,1998,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.775,5,3.0,1,,5526.315789473684
Bromhaar 11,Nieuw Heeten,325000.0,268.0,122.0,1976,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,B,Aan rustige weg en in woonwijk,Achtertuin,710,5,4.0,1,Overijssel,2663.934426229508
Waterhoefweg 13,Oisterwijk,462500.0,414.0,139.0,1970,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en zijtuin,€ 3.802,6,4.0,1,Noord-Brabant,3327.338129496403
Prinsenlaan 32,Emmen,425000.0,1.037,152.0,1949,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,C,In centrum,"Achtertuin, voortuin en zijtuin",1.475,7,5.0,1,Drenthe,2796.0526315789475
Heerstraat 32,Maasbommel,395000.0,1.275,135.0,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer,2,C,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,605,8,4.0,1,Gelderland,2925.925925925926
Bolderik 21,Venray,249000.0,178.0,118.0,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,In woonwijk,Achtertuin en voortuin,1.700,5,3.0,1,Limburg,2110.169491525424
Saltholm 6,Zaandam,599000.0,234.0,121.0,1995,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2,B,In woonwijk,"Patio/atrium, voortuin en zonneterras",1.310,4,3.0,2,Noord-Holland,4950.413223140496
Hanendorperweg 25,Emst,425000.0,597.0,92.0,1952,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,E,Aan rustige weg en in centrum,"Achtertuin, voortuin, zijtuin en zonneterras",1.400,6,4.0,1,Gelderland,4619.565217391304
Dr. Ramaerlaan 26,Castricum,399000.0,219.0,72.0,1915,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,Niet verplicht,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zijtuin",2.060,3,2.0,1,Noord-Holland,5541.666666666667
Middenweg 71 C,Middenbeemster,979000.0,1.754,284.0,1988,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2,A,"Aan rustige weg, aan water, beschutte ligging, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",4.265,7,5.0,2,Noord-Holland,3447.1830985915494
Zandhovenstraat 4,Breda,325000.0,179.0,127.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan water en in woonwijk,Achtertuin en voortuin,4.260,6,4.0,1,Noord-Brabant,2559.0551181102364
Rivierdijk 655,Sliedrecht,1250000.0,830.0,316.0,1890,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3,E,Aan rustige weg,Achtertuin en voortuin,445,6,3.0,2,Zuid-Holland,3955.6962025316457
Weerdingerweg 27,Valthe,479000.0,3.845,180.0,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2,C,In bosrijke omgeving en vrij uitzicht,Tuin rondom,,6,5.0,2,Drenthe,2661.1111111111113
Wilhelminastraat 15,Meteren,375000.0,171.0,84.0,1920,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,3 kamers (2 slaapkamers),1 badkamer,2,G,Aan rustige weg,Achtertuin en zijtuin,845,3,2.0,1,Gelderland,4464.285714285715
Strammerboogh 19,Akersloot,275000.0,152.0,76.0,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,In woonwijk,Achtertuin en voortuin,3.410,4,3.0,1,Noord-Holland,3618.4210526315787
Zwarteweg 15,Leusden,845000.0,570.0,154.0,1966,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,B,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",1.235,7,5.0,1,Utrecht,5487.012987012987
Roer 9,Deurne,315000.0,139.0,178.0,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.055,6,3.0,1,Noord-Brabant,1769.6629213483145
Frans Halslaan 13,Akersloot,350000.0,145.0,118.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.410,6,5.0,1,Noord-Holland,2966.101694915254
Hondstong 8,Heemskerk,750000.0,364.0,128.0,1989,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,1,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.525,3,2.0,2,Noord-Holland,5859.375
Rijksweg 31,Nuland,739000.0,1.127,163.0,1962,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3,C,,Tuin rondom,3.495,5,4.0,2,Noord-Brabant,4533.742331288344
Drieseweg 6,Putten,550000.0,345.0,137.0,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,6.280,6,4.0,1,Gelderland,4014.598540145985
Dorpsstraat 16 a,Zieuwent,369000.0,365.0,142.0,1974,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,In centrum,"Achtertuin, voortuin en zijtuin",1.095,5,3.0,1,Gelderland,2598.5915492957747
Richtershof 35,Kapel Avezaath (Gem. Tiel),355000.0,128.0,93.0,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,500,5,3.0,1,,3817.2043010752686
Groningerstraat 157,Assen,399000.0,335.0,143.0,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan drukke weg en beschutte ligging,Achtertuin en voortuin,1.810,5,3.0,1,Drenthe,2790.2097902097903
Noordlandseweg 77 C,'s-Gravenzande,850000.0,1.45,162.0,1964,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2,E,Aan drukke weg en vrij uitzicht,Tuin rondom,3.215,5,4.0,2,Zuid-Holland,5246.913580246914
Dennekruid 210,Rotterdam,427500.0,156.0,137.0,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,25.730,6,5.0,1,Zuid-Holland,3120.4379562043796
